Sygnatura czasowa,Płeć,Wiek,Miejsce zamieszkania,Wykształcenie,"Miesięczny dochód netto (""na rękę"")",Czy zdarza Ci się kupować kosmetyki zrównoważone?,Które z tych cech posiadanych przez kosmetyki zrównoważone są dla Ciebie najważniejsze lub decydujące przy ich zakupie? (wybierz maksymalnie 3),Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [cena],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [skład],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [marka],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [estetyczne opakowanie],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [posiadane certyfikaty jakości lub atesty],"Jeśli zobaczę reklamę kosmetyku zrównoważonego, jest większa szansa, że zdecyduję się na jego zakup.","Jeśli kosmetyk zrównoważony zostanie polecony przez lubianego przeze mnie influencera, twórcę na social media lub celebrytę, jest większa szansa, że zdecyduję się na jego zakup.","Jeśli zobaczę kosmetyk zrównoważony w kampanii edukacyjnej lub środowiskowej, jest większa szansa, że zdecyduję się na jego zakup.",Często rozmawiam ze znajomymi o kosmetykach zrównoważonych.,Często polecam moim znajomym wypróbowane przeze mnie kosmetyki zrównoważone.,"Uważam, że jestem w stanie zmienić nastawienie lub/i opinię moich znajomych w kwestii kosmetyków zrównoważonych.","Wybierając kosmetyki zrównoważone, często kieruję się opinią lub rekomendacjami znajomych.","Jeśli moi znajomi używają i polecają konkretny kosmetyk zrównoważony, jest większa szansa, że zdecyduję się na jego zakup.","Uważam, że moi znajomi są w stanie wpłynąć na moją opinię lub/i nastawienie w kwestii kosmetyków zrównoważonych.","Zakupię kosmetyki zrównoważone, nawet jeśli będą droższe niż normalne kosmetyki.","W innych sferach życia poza kosmetykami, często sięgam po ekologiczne, przyjazne dla środowiska produkty (np. artykuły gospodarstwa domowego, ubrania czy artykuły spożywcze).",Regularnie segreguję odpady.,Zwracam uwagę na oszczędzanie energii elektrycznej.,"Jeśli nie stosujesz kosmetyków zrównoważonych, które z tych przyczyn są Ci bliskie? (wybierz maksymalnie 3)"
2024-03-06 16:19:53,kobieta,21-25,miejscowość do 500 tys. mieszkańców,zasadnicze zawodowe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu, organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,ważne,w ogóle nieważne,trochę ważne,średnio ważne,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 16:57:39,kobieta,26-30,miejscowość do 250 tys. mieszkańców,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), zero-waste (zero odpadów)",bardzo ważne,bardzo ważne,ważne,w ogóle nieważne,bardzo ważne,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 17:00:54,kobieta,51 i powyżej,miejscowość powyżej 500 tys. mieszkańców,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu",bardzo ważne,średnio ważne,w ogóle nieważne,w ogóle nieważne,ważne,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,
2024-03-06 17:02:27,kobieta,26-30,miejscowość do 100 tys. mieszkańców,wyższe,nie chcę podawać,nie,,,,,,,,,,,,,,,,,,,,"zbyt wysoka cena, brak dostrzegalnej różnicy w porównaniu z konwencjonalnymi kosmetykami, krótki okres przydatności do użycia"
2024-03-06 17:05:11,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), zero-waste (zero odpadów)",ważne,ważne,trochę ważne,średnio ważne,ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,
2024-03-06 17:07:27,kobieta,31-35,miejscowość do 250 tys. mieszkańców,średnie,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",średnio ważne,bardzo ważne,w ogóle nieważne,średnio ważne,średnio ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,
2024-03-06 17:09:36,kobieta,36-40,miejscowość do 250 tys. mieszkańców,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), opakowanie z recyklingu",średnio ważne,ważne,trochę ważne,średnio ważne,bardzo ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-06 17:11:40,kobieta,31-35,miejscowość powyżej 500 tys. mieszkańców,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",ważne,średnio ważne,trochę ważne,średnio ważne,średnio ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-06 17:29:02,kobieta,21-25,miejscowość do 250 tys. mieszkańców,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",bardzo ważne,bardzo ważne,średnio ważne,średnio ważne,ważne,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 17:36:15,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), wegańskie",ważne,ważne,trochę ważne,w ogóle nieważne,średnio ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-06 17:56:29,mężczyzna,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,5001 - 6000,tak,"carbon-neutral (o neutralnym śladzie węglowym), ekologiczne, naturalne (min. 95% składników pochodzenia naturalnego)",bardzo ważne,ważne,bardzo ważne,trochę ważne,ważne,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 18:52:21,kobieta,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), zero-waste (zero odpadów)",ważne,ważne,bardzo ważne,w ogóle nieważne,ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 18:59:48,kobieta,26-30,miejscowość powyżej 500 tys. mieszkańców,średnie,4001 - 5000,tak,"naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu, organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,średnio ważne,trochę ważne,trochę ważne,ważne,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 19:02:54,kobieta,36-40,miejscowość powyżej 500 tys. mieszkańców,wyższe,4001 - 5000,tak,bio (min. 50% składników z upraw biologicznych),średnio ważne,bardzo ważne,ważne,trochę ważne,ważne,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 19:15:22,kobieta,31-35,miejscowość powyżej 500 tys. mieszkańców,wyższe,5001 - 6000,tak,"naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych), wegańskie",trochę ważne,bardzo ważne,w ogóle nieważne,trochę ważne,ważne,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-06 19:23:31,kobieta,21-25,miejscowość do 250 tys. mieszkańców,wyższe,nie chcę podawać,tak,"naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych), zero-waste (zero odpadów)",średnio ważne,bardzo ważne,średnio ważne,trochę ważne,bardzo ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 19:35:33,kobieta,46-50,miejscowość do 250 tys. mieszkańców,średnie,4001 - 5000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",bardzo ważne,bardzo ważne,ważne,ważne,bardzo ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 19:36:41,kobieta,20 i poniżej,miejscowość do 250 tys. mieszkańców,średnie,nie chcę podawać,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",ważne,średnio ważne,średnio ważne,trochę ważne,trochę ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,
2024-03-06 19:51:58,kobieta,21-25,miejscowość do 100 tys. mieszkańców,średnie,4001 - 5000,tak,"bio (min. 50% składników z upraw biologicznych), cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel)",średnio ważne,ważne,ważne,trochę ważne,ważne,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 19:55:55,kobieta,21-25,miejscowość do 500 tys. mieszkańców,wyższe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",średnio ważne,bardzo ważne,średnio ważne,średnio ważne,średnio ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 20:27:19,kobieta,46-50,miejscowość do 250 tys. mieszkańców,średnie,4001 - 5000,tak,"naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych), wegańskie",trochę ważne,ważne,ważne,średnio ważne,ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-06 20:42:11,mężczyzna,21-25,miejscowość do 250 tys. mieszkańców,wyższe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",bardzo ważne,bardzo ważne,w ogóle nieważne,średnio ważne,średnio ważne,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-06 21:59:07,mężczyzna,21-25,wieś,wyższe,3000 i poniżej,tak,"ekologiczne, opakowanie z recyklingu",średnio ważne,bardzo ważne,w ogóle nieważne,w ogóle nieważne,bardzo ważne,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 22:28:17,kobieta,41-45,wieś,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",trochę ważne,bardzo ważne,średnio ważne,w ogóle nieważne,ważne,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-06 22:33:58,mężczyzna,21-25,wieś,wyższe,4001 - 5000,nie,,,,,,,,,,,,,,,,,,,,"zbyt wysoka cena, niski stopień wiedzy na temat kosmetyków zrównoważonych"
2024-03-06 22:39:50,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,3001 - 4000,tak,"ekologiczne, naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,ważne,trochę ważne,trochę ważne,ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,
2024-03-06 22:50:53,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu, wegańskie",ważne,bardzo ważne,średnio ważne,w ogóle nieważne,ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-07 08:43:32,kobieta,31-35,miejscowość do 100 tys. mieszkańców,wyższe,4001 - 5000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",trochę ważne,średnio ważne,trochę ważne,w ogóle nieważne,średnio ważne,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-07 08:49:30,kobieta,21-25,miejscowość do 100 tys. mieszkańców,średnie,3001 - 4000,tak,bio (min. 50% składników z upraw biologicznych),trochę ważne,trochę ważne,w ogóle nieważne,średnio ważne,trochę ważne,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
